"filename", "language", "Dart", "comment", "blank", "total"
"/Users/apple/Documents/clan_churn/lib/animation/show_up_animation/enums.dart", "Dart", 4, 4, 1, 9
"/Users/apple/Documents/clan_churn/lib/animation/show_up_animation/show_up.dart", "Dart", 95, 16, 23, 134
"/Users/apple/Documents/clan_churn/lib/animation/show_up_animation/show_up_builder.dart", "Dart", 29, 14, 10, 53
"/Users/apple/Documents/clan_churn/lib/animation/show_up_animation/show_up_list.dart", "Dart", 69, 21, 12, 102
"/Users/apple/Documents/clan_churn/lib/api_repos/api_repo.dart", "Dart", 1141, 64, 120, 1325
"/Users/apple/Documents/clan_churn/lib/api_repos/auth_repo.dart", "Dart", 99, 1, 11, 111
"/Users/apple/Documents/clan_churn/lib/api_repos/models/client_details.dart", "Dart", 62, 3, 9, 74
"/Users/apple/Documents/clan_churn/lib/api_repos/models/client_logo_upload_res.dart", "Dart", 19, 0, 6, 25
"/Users/apple/Documents/clan_churn/lib/api_repos/models/column_model.dart", "Dart", 78, 0, 10, 88
"/Users/apple/Documents/clan_churn/lib/api_repos/models/get_pro_threshold_val_model.dart", "Dart", 69, 0, 13, 82
"/Users/apple/Documents/clan_churn/lib/api_repos/models/project_history_model.dart", "Dart", 75, 0, 13, 88
"/Users/apple/Documents/clan_churn/lib/api_repos/models/project_model.dart", "Dart", 328, 9, 31, 368
"/Users/apple/Documents/clan_churn/lib/api_repos/models/threshold_val_model.dart", "Dart", 75, 0, 8, 83
"/Users/apple/Documents/clan_churn/lib/api_repos/models/update_threshold_val_model.dart", "Dart", 49, 3, 10, 62
"/Users/apple/Documents/clan_churn/lib/api_repos/models/user_model.dart", "Dart", 81, 0, 13, 94
"/Users/apple/Documents/clan_churn/lib/churn_blocs/client/client_bloc.dart", "Dart", 72, 0, 8, 80
"/Users/apple/Documents/clan_churn/lib/churn_blocs/client/client_event.dart", "Dart", 86, 0, 11, 97
"/Users/apple/Documents/clan_churn/lib/churn_blocs/client/client_state.dart", "Dart", 13, 1, 4, 18
"/Users/apple/Documents/clan_churn/lib/churn_blocs/project_architect/project_architect_bloc.dart", "Dart", 357, 22, 31, 410
"/Users/apple/Documents/clan_churn/lib/churn_blocs/project_architect/project_architect_event.dart", "Dart", 180, 0, 33, 213
"/Users/apple/Documents/clan_churn/lib/churn_blocs/project_architect/project_architect_state.dart", "Dart", 98, 0, 5, 103
"/Users/apple/Documents/clan_churn/lib/churn_blocs/sign_in_bloc/sign_in_bloc.dart", "Dart", 106, 1, 7, 114
"/Users/apple/Documents/clan_churn/lib/churn_blocs/sign_in_bloc/sign_in_event.dart", "Dart", 16, 0, 4, 20
"/Users/apple/Documents/clan_churn/lib/churn_blocs/sign_in_bloc/sign_in_state.dart", "Dart", 13, 0, 4, 17
"/Users/apple/Documents/clan_churn/lib/churn_blocs/user/user_bloc.dart", "Dart", 101, 1, 9, 111
"/Users/apple/Documents/clan_churn/lib/churn_blocs/user/user_event.dart", "Dart", 84, 0, 13, 97
"/Users/apple/Documents/clan_churn/lib/churn_blocs/user/user_state.dart", "Dart", 21, 0, 5, 26
"/Users/apple/Documents/clan_churn/lib/components/admin/admin_client_card.dart", "Dart", 93, 4, 4, 101
"/Users/apple/Documents/clan_churn/lib/components/admin/admin_clients_component.dart", "Dart", 75, 0, 7, 82
"/Users/apple/Documents/clan_churn/lib/components/admin/admin_user_section.dart", "Dart", 195, 3, 12, 210
"/Users/apple/Documents/clan_churn/lib/components/admin/create_client_body.dart", "Dart", 171, 2, 9, 182
"/Users/apple/Documents/clan_churn/lib/components/admin/deactivate_button.dart", "Dart", 55, 0, 5, 60
"/Users/apple/Documents/clan_churn/lib/components/admin/new_client_form.dart", "Dart", 539, 5, 9, 553
"/Users/apple/Documents/clan_churn/lib/components/admin/new_user_form.dart", "Dart", 408, 31, 16, 455
"/Users/apple/Documents/clan_churn/lib/components/admin/update_client_form.dart", "Dart", 625, 8, 14, 647
"/Users/apple/Documents/clan_churn/lib/components/admin/update_user_form.dart", "Dart", 515, 47, 12, 574
"/Users/apple/Documents/clan_churn/lib/components/admin/user_chip.dart", "Dart", 33, 1, 3, 37
"/Users/apple/Documents/clan_churn/lib/components/app_bar.dart", "Dart", 43, 0, 5, 48
"/Users/apple/Documents/clan_churn/lib/components/churn_continer.dart", "Dart", 17, 0, 3, 20
"/Users/apple/Documents/clan_churn/lib/components/client_project_view_card.dart", "Dart", 86, 5, 3, 94
"/Users/apple/Documents/clan_churn/lib/components/client_projects.dart", "Dart", 51, 2, 3, 56
"/Users/apple/Documents/clan_churn/lib/components/clients_card.dart", "Dart", 81, 4, 5, 90
"/Users/apple/Documents/clan_churn/lib/components/clients_component.dart", "Dart", 50, 19, 6, 75
"/Users/apple/Documents/clan_churn/lib/components/cus_text.dart", "Dart", 27, 0, 3, 30
"/Users/apple/Documents/clan_churn/lib/components/cus_text_editing_controller.dart", "Dart", 56, 0, 4, 60
"/Users/apple/Documents/clan_churn/lib/components/cus_text_form_filed_for_input_form.dart", "Dart", 110, 8, 8, 126
"/Users/apple/Documents/clan_churn/lib/components/custom_snack_bar.dart", "Dart", 142, 4, 10, 156
"/Users/apple/Documents/clan_churn/lib/components/dialogs.dart", "Dart", 108, 1, 6, 115
"/Users/apple/Documents/clan_churn/lib/components/filters.dart", "Dart", 44, 1, 3, 48
"/Users/apple/Documents/clan_churn/lib/components/get_filters_drawer.dart", "Dart", 76, 0, 4, 80
"/Users/apple/Documents/clan_churn/lib/components/get_reports_data_table.dart", "Dart", 84, 19, 4, 107
"/Users/apple/Documents/clan_churn/lib/components/input_fields.dart", "Dart", 724, 7, 24, 755
"/Users/apple/Documents/clan_churn/lib/components/input_sheet_columns.dart", "Dart", 287, 447, 66, 800
"/Users/apple/Documents/clan_churn/lib/components/nav_bar.dart", "Dart", 47, 2, 7, 56
"/Users/apple/Documents/clan_churn/lib/components/outlined_button_template.dart", "Dart", 70, 0, 4, 74
"/Users/apple/Documents/clan_churn/lib/components/pro_threshold_component.dart", "Dart", 294, 9, 24, 327
"/Users/apple/Documents/clan_churn/lib/components/profile.dart", "Dart", 229, 6, 8, 243
"/Users/apple/Documents/clan_churn/lib/components/project_card.dart", "Dart", 93, 105, 6, 204
"/Users/apple/Documents/clan_churn/lib/components/project_input_history.dart", "Dart", 182, 7, 11, 200
"/Users/apple/Documents/clan_churn/lib/components/project_list_data.dart", "Dart", 112, 30, 8, 150
"/Users/apple/Documents/clan_churn/lib/components/project_publish.dart", "Dart", 152, 132, 14, 298
"/Users/apple/Documents/clan_churn/lib/components/projects_view_component.dart", "Dart", 260, 8, 13, 281
"/Users/apple/Documents/clan_churn/lib/components/reports.dart", "Dart", 555, 51, 20, 626
"/Users/apple/Documents/clan_churn/lib/components/search.dart", "Dart", 300, 355, 63, 718
"/Users/apple/Documents/clan_churn/lib/components/show_top_snack_bar.dart", "Dart", 286, 48, 37, 371
"/Users/apple/Documents/clan_churn/lib/components/side_bar.dart", "Dart", 196, 6, 16, 218
"/Users/apple/Documents/clan_churn/lib/components/step_tracker.dart", "Dart", 780, 162, 21, 963
"/Users/apple/Documents/clan_churn/lib/components/summary_card.dart", "Dart", 40, 0, 4, 44
"/Users/apple/Documents/clan_churn/lib/components/upload_new_data.dart", "Dart", 106, 4, 6, 116
"/Users/apple/Documents/clan_churn/lib/components/uploaded_excel_summary_report.dart", "Dart", 627, 654, 29, 1310
"/Users/apple/Documents/clan_churn/lib/components/view_error_report.dart", "Dart", 350, 0, 3, 353
"/Users/apple/Documents/clan_churn/lib/components/wrap_profile.dart", "Dart", 15, 0, 3, 18
"/Users/apple/Documents/clan_churn/lib/main.dart", "Dart", 190, 14, 6, 210
"/Users/apple/Documents/clan_churn/lib/pages/admin_home_page.dart", "Dart", 36, 0, 3, 39
"/Users/apple/Documents/clan_churn/lib/pages/client_projects_view.dart", "Dart", 44, 2, 4, 50
"/Users/apple/Documents/clan_churn/lib/pages/create_client.dart", "Dart", 65, 0, 5, 70
"/Users/apple/Documents/clan_churn/lib/pages/create_new_client.dart", "Dart", 56, 0, 3, 59
"/Users/apple/Documents/clan_churn/lib/pages/create_new_user.dart", "Dart", 77, 0, 6, 83
"/Users/apple/Documents/clan_churn/lib/pages/edit_client_details.dart", "Dart", 8, 0, 2, 10
"/Users/apple/Documents/clan_churn/lib/pages/forgot_password_screen.dart", "Dart", 269, 17, 16, 302
"/Users/apple/Documents/clan_churn/lib/pages/home_page.dart", "Dart", 60, 4, 6, 70
"/Users/apple/Documents/clan_churn/lib/pages/new_project_components.dart", "Dart", 358, 16, 13, 387
"/Users/apple/Documents/clan_churn/lib/pages/project_input_fields_sheet.dart", "Dart", 64, 109, 10, 183
"/Users/apple/Documents/clan_churn/lib/pages/reset_password_link.dart", "Dart", 288, 38, 21, 347
"/Users/apple/Documents/clan_churn/lib/pages/saved_projects.dart", "Dart", 61, 959, 48, 1068
"/Users/apple/Documents/clan_churn/lib/pages/sign_page.dart", "Dart", 350, 90, 9, 449
"/Users/apple/Documents/clan_churn/lib/utils/api_endpoins.dart", "Dart", 40, 12, 8, 60
"/Users/apple/Documents/clan_churn/lib/utils/device_types.dart", "Dart", 147, 26, 13, 186
"/Users/apple/Documents/clan_churn/lib/utils/extensions.dart", "Dart", 12, 0, 3, 15
"/Users/apple/Documents/clan_churn/lib/utils/input_field_strings.dart", "Dart", 20, 49, 6, 75
"/Users/apple/Documents/clan_churn/lib/utils/routes.dart", "Dart", 34, 1, 4, 39
"/Users/apple/Documents/clan_churn/lib/utils/spacing.dart", "Dart", 52, 0, 2, 54
"/Users/apple/Documents/clan_churn/lib/utils/typography.dart", "Dart", 130, 0, 6, 136
"/Users/apple/Documents/clan_churn/lib/utils/validations.dart", "Dart", 86, 0, 9, 95
"Total", "-", 15256, 3694, 1172, 20122